instance,#jobs,#machines,increment,#Varibles,final time point,Weighted Completion Time,Total Deviation,Weighted Total Tardiness,Objective Value,Gap,Cpu Time
1.0,20.0,6.0,1.0,9480.666666666666,155.66666666666666,6812.666666666667,0.0,7574.666666666667,82559.33333333333,6e-06,43.822688666666664
1.0,20.0,6.0,2.0,4740.333333333333,155.66666666666666,6822.666666666667,0.0,7574.666666666667,82569.33333333333,0.0,7.111191666666667
1.0,20.0,6.0,5.0,1936.3333333333333,155.66666666666666,6922.0,0.0,13275.333333333334,139675.33333333334,0.0,0.7778156666666667
1.0,30.0,6.0,1.0,20856.666666666668,224.0,14013.0,0.0,7687.666666666667,90889.66666666667,0.318652,600.0178223333334
1.0,30.0,6.0,2.0,10443.666666666666,224.0,14054.333333333334,0.0,5763.0,71684.33333333333,2.4999999999999998e-05,130.642756
1.0,30.0,6.0,5.0,4202.333333333333,224.0,14421.333333333334,0.0,7928.666666666667,93708.0,3e-05,5.911973333333333
1.0,40.0,6.0,1.0,36157.666666666664,299.3333333333333,24322.0,0.0,160264.0,1626962.0,0.5387476666666667,600.0330493333333
1.0,40.0,6.0,2.0,18139.0,299.3333333333333,22855.0,0.0,3124.6666666666665,54101.666666666664,0.19999466666666668,549.5818889999999
1.0,40.0,6.0,5.0,7304.0,299.3333333333333,23071.333333333332,0.0,10121.333333333334,124284.66666666667,0.0,59.972151999999994
1.0,50.0,6.0,1.0,62785.333333333336,409.6666666666667,29722.333333333332,0.0,788422.6666666666,7913949.0,0.360306,400.02108433333325
1.0,50.0,6.0,2.0,31443.333333333332,409.6666666666667,30588.333333333332,0.0,723.6666666666666,37825.0,0.12856066666666666,600.018959
1.0,50.0,6.0,5.0,12638.666666666666,409.6666666666667,31086.333333333332,0.0,1508.0,46166.333333333336,0.013497,487.461274
