Job,Task,Machine,Time,Processing_time
9,33,2,90,10
1,2,4,20,10
1,3,2,40,10
10,38,1,30,10
4,16,3,30,10
2,6,4,51,10
4,13,4,0,10
5,20,2,100,10
1,4,1,50,10
3,10,1,80,10
9,34,1,100,10
9,35,3,110,10
2,5,3,40,10
5,18,2,70,10
5,17,2,60,10
10,39,4,40,10
6,24,2,30,10
10,40,2,50,10
4,15,2,20,10
8,29,1,0,10
8,30,4,10,10
4,14,3,10,10
5,19,3,80,10
6,21,3,0,10
6,22,2,10,10
3,12,3,100,10
7,26,3,50,10
1,1,1,10,10
7,25,1,40,10
2,8,2,80,10
8,32,4,30,10
3,9,3,60,10
2,7,3,70,10
3,11,3,90,10
7,28,1,70,10
6,23,3,20,10
9,36,3,120,10
7,27,1,60,10
10,37,2,0,10
8,31,1,20,10
